date,price
2023-02-12,800.1542188092325
2023-02-13,836.8720691937256
2023-02-14,810.0753367436324
2023-02-15,817.4971621330604
2023-02-16,821.0757120176216
2023-02-17,812.0779024380047
2023-02-18,833.3858474464373
2023-02-19,838.6973557318967
2023-02-20,801.9273365298948
2023-02-21,835.9053416909214
2023-02-22,812.8389151015393
2023-02-23,838.420624788999
2023-02-24,828.227636700432
2023-02-25,815.0759981687073
2023-02-26,829.2297311439065
2023-02-27,819.8154112857453
2023-02-28,821.2873648100745
2023-03-01,813.821493846795
2023-03-02,831.5520894179202
2023-03-03,832.772863172476
2023-03-04,832.9818200796449
2023-03-05,819.1623648553953
2023-03-06,832.8430814314007
2023-03-07,821.1669066612974
2023-03-08,826.8884207408181
2023-03-09,819.1371001507687
2023-03-10,833.8004227384765
2023-03-11,800.4103148923178
2023-03-12,823.9697776944545
2023-03-13,826.7121421631844
2023-03-14,804.8922793930732
2023-03-15,849.4632260195033
2023-03-16,810.0125916216625
2023-03-17,805.9911033831404
2023-03-18,834.723776859782
2023-03-19,833.0871331799913
2023-03-20,813.6757299485231
2023-03-21,843.0431015366094
2023-03-22,821.6445186973219
2023-03-23,811.0281585769233
2023-03-24,825.3269606638614
2023-03-25,844.3835322740082
2023-03-26,808.6571465281299
2023-03-27,821.947547134876
2023-03-28,842.8877726546826
2023-03-29,832.2761603481589
2023-03-30,834.4410241138874
2023-03-31,807.8850062211582
2023-04-01,811.528602634237
2023-04-02,836.6319118331763
2023-04-03,840.5518218567775
2023-04-04,825.01537708323
2023-04-05,846.3781803503261
2023-04-06,809.9225892518976
2023-04-07,814.6813160086745
2023-04-08,845.3606968019865
2023-04-09,842.8871624810897
2023-04-10,812.433956766593
2023-04-11,804.1094714669315
2023-04-12,835.6248790642454
2023-04-13,828.6340719142605
2023-04-14,822.0216755779542
2023-04-15,841.0732025933659
2023-04-16,835.7846469646286
2023-04-17,847.7156489054728
2023-04-18,837.03621647439
2023-04-19,846.4794886571171
2023-04-20,819.1121158919367
2023-04-21,826.893532730396
2023-04-22,826.1887597737375
2023-04-23,835.3586257158274
